Name,Link,Position,Height,Born_Date,Born_place,College,High School,NBA Debut
Max Zaslofsky,https://www.basketball-reference.com/players/z/zasloma01.html,Shooting Guard,"6-2, 170lb (188cm, 77kg)",1925-12-07,New York,:St.John's,"ThomasJeffersoninBrooklyn,NewYork",NBA Debut: November 2 1946
Zeke Zawoluk,https://www.basketball-reference.com/players/z/zawolze01.html,Power Forward and Small Forward,"6-7, 215lb (201cm, 97kg)",1930-10-13,New York,:St.John's,"SaintFrancisPrepinQueens,NewYork",NBA Debut: December 16 1952
Cody Zeller,https://www.basketball-reference.com/players/z/zelleco01.html,Center,"6-11, 240lb (211cm, 108kg)",1992-10-05,Indiana,:Indiana,"WashingtoninWashington,Indiana",NBA Debut: October 30 2013
Dave Zeller,https://www.basketball-reference.com/players/z/zelleda01.html,Point Guard,"6-1, 175lb (185cm, 79kg)",1939-06-08,Ohio,:MiamiUniversity,"TecumsehinNewCarlisle,Ohio",NBA Debut: November 3 1961
Gary Zeller,https://www.basketball-reference.com/players/z/zellega01.html,Shooting Guard,"6-3, 205lb (190cm, 92kg)",1947-11-20,No Born Place,:DrakeUniversity,,NBA Debut: October 14 1970 ▪ ABA Debut: February 6 1972
Harry Zeller,https://www.basketball-reference.com/players/z/zelleha01.html,Center/Forward,"6-4, 210lb (193cm, 95kg)",1919-07-10,Pennsylvania,:Washington&Jefferson,"St.GeorgeinAllentown,Pennsylvania",NBA Debut: November 2 1946
Luke Zeller,https://www.basketball-reference.com/players/z/zellelu01.html,Center,"6-11, 245lb (211cm, 111kg)",1987-04-07,Iowa,:NotreDame,"WashingtoninWashington,Indiana",NBA Debut: November 4 2012
Tyler Zeller,https://www.basketball-reference.com/players/z/zellety01.html,Center,"7-0, 253lb (213cm, 114kg)",1990-01-17,California,:UNC,"WashingtoninWashington,Indiana",NBA Debut: October 30 2012
Tony Zeno,https://www.basketball-reference.com/players/z/zenoto01.html,Small Forward,"6-8, 210lb (203cm, 95kg)",1957-10-01,Louisiana,:ArizonaState,"WashingtoninLosAngeles,California",NBA Debut: October 12 1979
Phil Zevenbergen,https://www.basketball-reference.com/players/z/zevenph01.html,Center,"6-10, 230lb (208cm, 104kg)",1964-04-13,Washington,"s:SeattlePacificUniversity,Washington","WoodwayinEdmonds,Washington",NBA Debut: March 22 1988
Wang Zhizhi,https://www.basketball-reference.com/players/z/zhizhwa01.html,Center,"7-0, 255lb (213cm, 115kg)",1977-07-08,China,,,NBA Debut: April 5 2001
George Zídek,https://www.basketball-reference.com/players/z/zidekge01.html,,,,,,,
Derrick Zimmerman,https://www.basketball-reference.com/players/z/zimmede01.html,,,,,,,
Stephen Zimmerman,https://www.basketball-reference.com/players/z/zimmest01.html,,,,,,,
Paul Zipser,https://www.basketball-reference.com/players/z/zipsepa01.html,,,,,,,
Ante Žižić,https://www.basketball-reference.com/players/z/zizican01.html,,,,,,,
Jim Zoet,https://www.basketball-reference.com/players/z/zoetji01.html,,,,,,,
Bill Zopf,https://www.basketball-reference.com/players/z/zopfbi01.html,,,,,,,
Ivica Zubac,https://www.basketball-reference.com/players/z/zubaciv01.html,,,,,,,
Matt Zunic,https://www.basketball-reference.com/players/z/zunicma01.html,,,,,,,
